,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
59,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:28:00,-71.00748701,-12.99352203,1013.50708,19 L,Hylidae,Hypsiboas,sp nov,0,En roca de quebrada,Saltando,9.13,47.15,,,Bd199,No colectado,Cerca al punto Gps
60,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:30:00,-71.00748701,-12.99352203,1013.50708,19 L,Hylidae,Hypsiboas,sp nov,0,En roca de quebrada,Saltando,6.64,43.82,,,Bd202,UNMS 154339,"En amplexus, con 250 huevos en criovial"
61,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:30:00,-71.00748701,-12.99352203,1013.50708,19 L,Hylidae,Hypsiboas,sp nov,0,En roca de quebrada,Saltando,5.97,44.82,,,Bd200,No colectado,
62,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:30:00,-71.00748701,-12.99352203,1013.50708,19 L,Hylidae,Hypsiboas,sp nov,0,En roca de quebrada,Saltando,5.78,47,,,Bd203,UNMS 154340,"En amplexus, con 250 huevos en criovial"
63,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:37:00,-71.00775397,-12.99366896,993.538757,19 L,Bufonidae,Rhinella,tacana,0.4,En hoja,Atento,2.2,32.1,,,Bd195,No colectado,
64,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:17:00,-71.007657,-12.993402,1003.23822,19 L,Bufonidae,Rhinella,tacana,1,En hoja,Activo,0.83,22.3,,,Bd198,No colectado,
65,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:04:00,-71.00791801,-12.99368698,991.156128,19 L,Craugastoridae,Pristimantis,ockendeni,1.5,En hoja de trepadora,Atento,0.31,15.5,,,Bd196,No colectado,Vientre negro
66,EC,1,29/06/2014,11,65,50,3,01:02:00,01:42:00,01:40:00,-71.00775397,-12.99366896,993.538757,19 L,Bufonidae,Rhinella,tacana,1,En hoja,Activo,0.22,14.22,,,Bd197,No colectado,
67,LC,2,10/8/14 00:00,12,63,50,4,01:07:00,01:37:00,01:30:00,8562610,282210,1014,19L,Bufonidae,Rhinella,tacana,30,axila de una p;anta parecida a una heliconia gigante,cantando,1.4,23.3,0,no tiene fotos,2Bd163,no,
68,AB,5,15/7/2016,6,63,50,5,01:18:00,01:42:00,01:18:00,282226,8562598,1010,19L,Bufonidae,Rhinella,tacana,0.3,Hoja,Activo,2.97,31.7,,,5Bd113,,
69,AB,5,15/7/2016,6,63,50,5,01:18:00,01:42:00,01:42:00,282216,8562557,1019,19L,Hylidae,Dendropsophus,aff parviceps,0.8,Hoja,Cantando,0.45,17.4,,,5Bd111,,
70,AB,5,15/7/2016,6,63,50,5,01:18:00,01:42:00,01:24:00,282216,8562556,1028,19L,Craugastoridae,Noblella,sp,0,Suelo,Activo,0.14,11.4,,,5Bd112,,GPS aproximado
