,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev
44,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:54:00,282234.0,8562707.0,1037.0,19L,Bufonidae,Rhinella,tacana,0.5,hoja,activo,0.35,16.2,,,3bD041,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75
45,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:39:00,,,,,Craugastoridae,Pristimantis,danae,0.1,hoja,activo,0.3,18.5,,,3Bd039,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75
46,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,01:00:00,-71.0063029825687,-12.9925069771707,994.404906999999,19L,Craugastoridae,Pristimantis,danae,0.0,en hojarasca,saltando,1.39,26.8,,,Bd226,,Entre p69-3 y p69-4,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0
47,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,01:04:00,-71.0063029825687,-12.9925069771707,994.404906999999,19L,Leptodactylidae,Adenomera,andreae,0.0,en hojarasca,saltando,0.58,17.25,,,Bd229,,Normal sin lineas,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0
48,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,00:51:00,-71.0060330014675,-12.9925840068608,994.196533,19L,Craugastoridae,Pristimantis,aff pharangobates,0.0,en hojarasca,saltando,0.39,17.48,,,Bd230,,Cerca al punto GPS,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0
49,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,00:49:00,-71.0060330014675,-12.9925840068608,994.196533,19L,Craugastoridae,Pristimantis,gagliardi,0.0,en hojarasca,saltando,0.27,14.9,,,Bd227,,Cerca al punto GPS,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0
50,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,00:45:00,-71.0060330014675,-12.9925840068608,994.196533,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,saltando,0.17,11.18,,,Bd228,,Cerca al punto GPS,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0
51,RI,4,2015-07-15,1,54,150,4.0,00:50:00,01:20:00,01:10:00,282189.489579806,8562809.93416195,988.038147,19L,Craugastoridae,Noblella,sp,0.0,hojarasca,saltando,0.27,12.1,,,4Bd029,,,2015,7,15,6.0,0.0,303.0,1254.0,11.0,114.0,11.0,21.0,99.036,0.01,984.25
52,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:05:00,282067.0,8562836.0,950.0,19L,Hylidae,Osteocephalus,mimeticus,2.0,rama,activo,3.66,45.0,,4415-4418,5Bd021,22255,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5
53,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:20:00,282364.0,8562850.0,1003.0,19L,Centrolenidae,Cochranella,nola,1.5,hoja,activo,1.11,26.1,,,5Bd019,,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5
